,ID,Name,Age,Photo,Nationality,Flag,Potential,Club Logo,Value,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Real Face,Jersey Number,Joined,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,WorkFront,WorkBack
12000,183024,Fan Xiaodong,31,https://cdn.sofifa.org/players/4/19/183024.png,China PR,https://cdn.sofifa.org/flags/155.png,64,https://cdn.sofifa.org/teams/2/light/111769.png,375000.0,1713,Left,1.0,2.0,2.0,No,17.0,"Jan 1, 2016",5.10,73.18,59.0,59.0,59.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,63.0,63.0,63.0,65.0,53.0,49.0,48.0,62.0,41.0,65.0,64.0,57.0,61.0,62.0,70.0,67.0,64.0,66.0,67.0,50.0,50.0,70.0,60.0,58.0,55.0,67.0,65.0,60.0,40.0,45.0,58.0,68.0,63.0,12.0,10.0,10.0,14.0,7.0,High, Medium
6016,220522,D. Hernández,25,https://cdn.sofifa.org/players/4/19/220522.png,Colombia,https://cdn.sofifa.org/flags/56.png,70,https://cdn.sofifa.org/teams/2/light/1013.png,1200000.0,1703,Left,1.0,3.0,3.0,No,20.0,"Aug 16, 2018",5.9,65.0,64.0,64.0,64.0,70.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,65.0,65.0,65.0,70.0,55.0,53.0,53.0,53.0,55.0,51.0,43.0,43.0,43.0,51.0,68.0,57.0,37.0,69.0,63.0,69.0,59.0,67.0,65.0,70.0,74.0,73.0,81.0,68.0,75.0,66.0,53.0,62.0,62.0,57.0,50.0,32.0,68.0,73.0,58.0,67.0,33.0,27.0,25.0,7.0,8.0,7.0,8.0,12.0,High, Low
6453,228827,J. Fuchs,20,https://cdn.sofifa.org/players/4/19/228827.png,Cameroon,https://cdn.sofifa.org/flags/103.png,80,https://cdn.sofifa.org/teams/2/light/226.png,1600000.0,1753,Right,1.0,3.0,2.0,No,6.0,"Jul 1, 2016",5.9,70.0,59.0,59.0,59.0,61.0,60.0,60.0,60.0,61.0,62.0,62.0,62.0,63.0,64.0,64.0,64.0,63.0,67.0,69.0,69.0,69.0,67.0,68.0,68.0,68.0,68.0,68.0,43.0,45.0,48.0,73.0,37.0,61.0,42.0,35.0,70.0,69.0,79.0,81.0,88.0,64.0,81.0,62.0,73.0,70.0,66.0,33.0,68.0,65.0,44.0,45.0,45.0,64.0,72.0,68.0,65.0,7.0,15.0,9.0,14.0,16.0,Medium, Medium
17988,182478,Wang Xuanhong,28,https://cdn.sofifa.org/players/4/19/182478.png,China PR,https://cdn.sofifa.org/flags/155.png,51,https://cdn.sofifa.org/teams/2/light/112537.png,40000.0,1385,Right,1.0,2.0,2.0,No,14.0,"Feb 13, 2017",6.0,78.18,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,51.0,51.0,51.0,49.0,51.0,51.0,51.0,49.0,50.0,54.0,54.0,54.0,50.0,50.0,53.0,53.0,53.0,50.0,31.0,42.0,28.0,51.0,32.0,45.0,34.0,37.0,44.0,51.0,53.0,45.0,71.0,51.0,50.0,42.0,49.0,60.0,72.0,47.0,52.0,49.0,51.0,51.0,35.0,38.0,62.0,51.0,46.0,10.0,7.0,16.0,12.0,8.0,Medium, Medium
16720,231457,D. Baur,19,https://cdn.sofifa.org/players/4/19/231457.png,Scotland,https://cdn.sofifa.org/flags/42.png,72,https://cdn.sofifa.org/teams/2/light/80.png,180000.0,1274,Left,1.0,3.0,2.0,No,36.0,"Jul 1, 2015",6.4,70.0,41.0,41.0,41.0,35.0,36.0,36.0,36.0,35.0,34.0,34.0,34.0,37.0,36.0,36.0,36.0,37.0,47.0,46.0,46.0,46.0,47.0,51.0,56.0,56.0,56.0,51.0,25.0,22.0,67.0,28.0,31.0,30.0,25.0,23.0,31.0,31.0,63.0,63.0,42.0,46.0,62.0,41.0,76.0,65.0,79.0,26.0,49.0,50.0,28.0,26.0,34.0,42.0,50.0,57.0,52.0,9.0,5.0,14.0,11.0,13.0,Medium, Medium
4031,235544,S. Memišević,24,https://cdn.sofifa.org/players/4/19/235544.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,74,https://cdn.sofifa.org/teams/2/light/1915.png,2500000.0,1587,Right,1.0,3.0,2.0,No,5.0,"Aug 1, 2016",6.1,77.27,50.0,50.0,50.0,48.0,49.0,49.0,49.0,48.0,49.0,49.0,49.0,53.0,56.0,56.0,56.0,53.0,64.0,67.0,67.0,67.0,64.0,65.0,72.0,72.0,72.0,65.0,40.0,26.0,73.0,66.0,20.0,55.0,30.0,28.0,64.0,50.0,51.0,65.0,35.0,62.0,64.0,54.0,87.0,75.0,81.0,26.0,77.0,76.0,30.0,34.0,63.0,60.0,70.0,66.0,62.0,14.0,13.0,8.0,14.0,8.0,Medium, Medium
7933,207428,J. Valencia,26,https://cdn.sofifa.org/players/4/19/207428.png,Colombia,https://cdn.sofifa.org/flags/56.png,69,https://cdn.sofifa.org/teams/2/light/10019.png,925000.0,1574,Right,1.0,4.0,3.0,No,20.0,"Jul 7, 2017",6.2,81.36,67.0,67.0,67.0,61.0,64.0,64.0,64.0,61.0,61.0,61.0,61.0,59.0,53.0,53.0,53.0,59.0,45.0,45.0,45.0,45.0,45.0,43.0,45.0,45.0,45.0,43.0,26.0,62.0,65.0,59.0,58.0,64.0,38.0,32.0,31.0,68.0,70.0,73.0,68.0,65.0,61.0,68.0,72.0,68.0,84.0,62.0,74.0,21.0,62.0,40.0,64.0,57.0,22.0,18.0,17.0,10.0,11.0,16.0,14.0,11.0,High, Medium
7049,182122,Zou Zheng,30,https://cdn.sofifa.org/players/4/19/182122.png,China PR,https://cdn.sofifa.org/flags/155.png,68,https://cdn.sofifa.org/teams/2/light/111839.png,650000.0,1821,Left,1.0,3.0,2.0,No,25.0,"Dec 24, 2014",5.10,70.0,64.0,64.0,64.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,67.0,65.0,65.0,65.0,67.0,68.0,66.0,66.0,66.0,68.0,69.0,68.0,68.0,68.0,69.0,67.0,45.0,73.0,65.0,35.0,66.0,55.0,48.0,58.0,60.0,77.0,79.0,71.0,68.0,76.0,64.0,73.0,67.0,64.0,63.0,63.0,65.0,68.0,63.0,41.0,71.0,67.0,67.0,64.0,13.0,11.0,13.0,6.0,6.0,High, Medium
10285,208983,O. Hein,28,https://cdn.sofifa.org/players/4/19/208983.png,Germany,https://cdn.sofifa.org/flags/21.png,65,https://cdn.sofifa.org/teams/2/light/543.png,425000.0,1839,Right,1.0,4.0,3.0,No,17.0,"Jul 1, 2007",5.9,67.27,63.0,63.0,63.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,66.0,65.0,65.0,65.0,66.0,66.0,65.0,65.0,65.0,66.0,66.0,63.0,63.0,63.0,66.0,58.0,55.0,50.0,67.0,61.0,65.0,64.0,68.0,63.0,67.0,76.0,67.0,78.0,65.0,81.0,68.0,79.0,74.0,56.0,66.0,58.0,64.0,59.0,52.0,45.0,63.0,60.0,61.0,63.0,10.0,7.0,7.0,9.0,16.0,Medium, Medium
6465,228829,M. Roberts,27,https://cdn.sofifa.org/players/4/19/228829.png,England,https://cdn.sofifa.org/flags/14.png,71,https://cdn.sofifa.org/teams/2/light/88.png,1000000.0,1436,Right,1.0,2.0,2.0,No,4.0,"Jul 1, 2017",6.4,81.36,46.0,46.0,46.0,43.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,46.0,51.0,51.0,51.0,46.0,59.0,64.0,64.0,64.0,59.0,62.0,70.0,70.0,70.0,62.0,23.0,21.0,74.0,51.0,23.0,33.0,24.0,29.0,56.0,64.0,52.0,62.0,41.0,68.0,51.0,33.0,82.0,62.0,80.0,20.0,65.0,67.0,25.0,32.0,34.0,52.0,66.0,67.0,66.0,7.0,12.0,16.0,16.0,14.0,Medium, Medium
10639,244402,H. El Mokeddem,19,https://cdn.sofifa.org/players/4/19/244402.png,France,https://cdn.sofifa.org/flags/18.png,75,https://cdn.sofifa.org/teams/2/light/1809.png,850000.0,1638,Left,1.0,5.0,3.0,No,28.0,"Jul 1, 2018",5.7,65.0,62.0,62.0,62.0,67.0,66.0,66.0,66.0,67.0,65.0,65.0,65.0,66.0,60.0,60.0,60.0,66.0,55.0,51.0,51.0,51.0,55.0,53.0,46.0,46.0,46.0,53.0,61.0,63.0,41.0,56.0,51.0,73.0,56.0,60.0,56.0,70.0,75.0,72.0,66.0,58.0,68.0,59.0,51.0,61.0,52.0,60.0,52.0,35.0,61.0,60.0,61.0,61.0,29.0,41.0,44.0,8.0,11.0,8.0,8.0,11.0,Medium, Medium
